geracao,melhor,media
1,493,661.45
2,494,643.55
3,436,627.58
4,436,618.27
5,452,606.495
6,465,592.56
7,440,580.0
8,440,562.595
9,435,547.405
10,418,536.26
11,425,520.33
12,412,512.18
13,404,500.125
14,412,496.065
15,412,489.2
16,412,484.74
17,411,481.33
18,401,477.095
19,401,467.715
20,401,460.82
21,401,453.975
22,391,446.295
23,391,445.47
24,391,433.6
25,391,428.015
26,387,420.12
27,381,412.795
28,381,410.48
29,381,411.6
30,381,406.305
31,381,404.695
32,381,396.45
33,381,394.65
34,381,392.34
35,381,387.935
36,381,389.01
37,381,388.93
38,381,387.2
39,381,388.375
40,381,389.81
41,369,389.96
42,369,390.695
43,369,390.955
44,369,388.325
45,369,389.61
46,369,389.335
47,369,391.71
48,369,389.65
49,361,390.42
50,361,386.68
51,361,384.165
52,361,385.145
53,361,381.945
54,361,376.995
55,361,369.585
56,361,371.92
57,361,373.29
58,361,369.97
59,361,369.385
60,361,370.345
61,361,372.72
62,361,369.945
63,361,368.335
64,361,368.095
65,361,368.245
66,361,367.93
67,361,368.94
68,361,365.86
69,361,369.01
70,361,373.54
71,361,369.185
72,361,370.115
73,361,368.77
74,361,369.065
75,361,367.085
76,361,366.87
77,361,367.935
78,361,369.37
79,361,368.395
80,361,368.065
81,361,371.945
82,361,369.115
83,361,369.335
84,361,367.845
85,361,370.665
86,361,367.26
87,361,369.93
88,361,370.975
89,361,370.76
90,361,368.645
91,361,372.25
92,361,369.895
93,361,374.415
94,361,370.495
95,361,367.97
96,361,369.65
97,361,370.35
98,361,369.525
99,361,369.17
100,361,370.895
