geracao,melhor,media
1,502,659.814
2,468,637.554
3,468,620.778
4,468,611.046
5,423,604.914
6,423,593.126
7,412,590.954
8,412,586.932
9,412,584.46
10,396,579.228
11,396,575.188
12,396,561.004
13,396,557.97
14,396,540.636
15,378,527.032
16,378,506.366
17,378,495.254
18,378,485.07
19,367,472.634
20,367,460.904
21,364,449.456
22,359,435.24
23,346,422.866
24,333,412.142
25,333,396.67
26,333,387.52
27,333,378.778
28,333,374.036
29,333,370.746
30,333,360.882
31,333,353.684
32,333,347.144
33,333,344.374
34,333,343.372
35,321,343.704
36,321,344.484
37,321,344.798
38,321,341.798
39,321,340.646
40,321,339.722
41,321,337.802
42,321,336.852
43,321,335.798
44,321,330.562
45,321,329.902
46,321,330.976
47,321,328.69
48,321,330.272
49,321,330.5
50,321,331.464
51,321,337.67
52,321,330.644
53,321,327.734
54,321,328.682
55,321,329.2
56,321,330.918
57,321,328.096
58,321,329.388
59,321,330.498
60,321,329.282
61,321,331.964
62,321,331.596
63,321,329.006
64,321,333.758
65,321,329.586
66,321,329.738
67,321,330.352
68,321,332.066
69,321,328.658
70,321,329.928
71,321,328.492
72,321,329.28
73,321,330.132
74,321,331.26
75,321,332.728
76,321,331.162
77,321,330.608
78,321,332.034
79,321,330.528
80,321,332.912
81,321,329.212
82,321,332.134
83,321,330.848
84,321,330.536
85,321,329.578
86,321,331.032
87,321,330.408
88,321,330.202
89,321,329.492
90,321,331.044
91,321,329.422
92,321,332.528
93,321,331.54
94,321,330.518
95,321,331.094
96,321,330.234
97,321,329.288
98,321,333.012
99,321,329.824
100,321,329.6
101,321,327.52
102,321,332.64
103,321,331.122
104,321,330.4
105,321,329.182
106,321,331.598
107,321,329.83
108,321,331.548
109,321,328.992
110,321,333.276
111,321,333.88
112,321,332.31
113,321,331.27
114,321,332.666
115,321,330.912
116,321,328.564
117,321,333.454
118,321,328.976
119,321,329.182
120,321,329.532
121,321,331.822
122,321,332.078
123,321,329.942
124,321,327.878
125,321,331.506
126,321,333.254
127,321,329.02
128,321,332.026
129,321,333.124
130,321,329.748
131,321,333.32
132,321,331.78
133,321,332.034
134,321,328.722
135,321,332.276
136,321,330.832
137,321,330.186
138,321,331.51
139,321,331.004
140,321,330.77
141,321,331.214
142,321,330.218
143,321,329.886
144,321,329.256
145,321,332.166
146,321,329.966
147,321,331.316
148,321,327.934
149,321,329.984
150,321,329.654
151,321,328.65
152,321,333.194
153,321,332.476
154,321,330.364
155,321,330.596
156,321,329.716
157,321,329.546
158,321,330.916
159,321,332.686
160,321,331.612
161,321,332.334
162,321,330.132
163,321,332.366
164,321,331.768
165,321,329.45
166,321,332.558
167,321,330.098
168,321,331.96
169,321,330.118
170,321,328.828
171,321,329.642
172,321,329.954
173,321,329.342
174,321,329.902
175,321,328.736
176,321,330.228
177,321,333.064
178,321,329.638
179,321,328.432
180,321,330.032
181,321,329.9
182,321,328.146
183,321,330.234
184,321,332.038
185,321,330.588
186,321,333.668
187,321,332.166
188,321,330.804
189,321,331.03
190,321,332.72
191,321,333.764
192,321,330.654
193,321,332.26
194,321,331.372
195,321,332.026
196,321,332.156
197,321,329.61
198,321,329.916
199,321,331.804
200,321,333.568
