geracao,melhor,media
1,486,662.258
2,429,637.262
3,452,617.774
4,456,612.128
5,465,601.98
6,450,592.576
7,429,585.776
8,447,582.624
9,431,574.622
10,453,575.22
11,410,575.834
12,433,577.618
13,445,576.864
14,408,574.7
15,421,572.232
16,389,572.754
17,415,571.774
18,411,571.228
19,402,568.426
20,405,568.004
21,407,570.304
22,426,569.334
23,428,571.024
24,385,569.77
25,371,570.53
26,397,571.864
27,414,569.828
28,404,561.588
29,402,564.494
30,377,567.286
31,394,559.616
32,371,557.814
33,395,558.632
34,409,554.128
35,392,549.176
36,391,548.16
37,403,549.038
38,380,550.448
39,380,557.78
40,350,558.066
41,388,554.914
42,408,550.87
43,361,550.616
44,373,555.284
45,385,554.47
46,402,554.176
47,389,548.358
48,390,546.636
49,360,547.504
50,396,547.92
51,384,551.298
52,333,556.038
53,373,556.182
54,373,555.12
55,373,553.924
56,421,555.744
57,408,557.762
58,425,553.574
59,395,555.42
60,392,556.592
61,402,559.148
62,399,558.186
63,391,558.722
64,370,559.75
65,430,560.236
66,437,558.796
67,366,560.196
68,393,557.854
69,387,556.84
70,403,557.616
71,403,562.356
72,396,563.68
73,426,564.56
74,394,562.176
75,377,560.376
76,410,558.218
77,407,562.502
78,411,552.814
79,409,554.046
80,380,554.298
81,400,555.252
82,411,557.286
83,344,554.846
84,412,555.664
85,398,553.148
86,374,552.7
87,411,548.452
88,396,557.416
89,396,559.698
90,386,557.458
91,388,558.062
92,414,560.124
93,425,561.11
94,407,559.422
95,389,562.76
96,377,562.808
97,399,564.324
98,411,558.564
99,392,558.824
100,407,556.156
101,387,560.352
102,412,558.638
103,388,557.954
104,406,558.96
105,412,557.948
106,404,559.212
107,402,554.766
108,409,555.502
109,391,555.35
110,391,548.24
111,404,550.44
112,392,545.496
113,392,547.366
114,393,547.944
115,392,542.412
116,379,541.93
117,390,542.388
118,372,547.602
119,380,545.74
120,385,548.344
121,401,550.706
122,407,553.41
123,410,554.416
124,385,562.266
125,418,563.76
126,377,561.862
127,405,564.824
128,404,557.872
129,385,556.516
130,398,555.14
131,400,555.382
132,389,555.792
133,409,555.848
134,394,555.922
135,382,554.916
136,382,556.732
137,382,562.808
138,404,559.89
139,402,560.208
140,411,568.86
141,411,565.666
142,412,564.494
143,409,562.682
144,405,563.984
145,392,560.378
146,422,561.184
147,413,563.886
148,410,563.052
149,411,569.74
150,426,566.094
151,408,569.398
152,407,570.418
153,362,570.886
154,394,566.806
155,401,566.592
156,407,564.316
157,419,563.84
158,432,567.322
159,402,565.804
160,385,569.376
161,368,566.784
162,385,568.958
163,397,570.794
164,379,565.904
165,414,564.362
166,418,559.79
167,405,555.732
168,381,552.512
169,413,549.9
170,414,547.876
171,405,551.6
172,402,551.94
173,396,552.166
174,408,556.852
175,417,555.63
176,363,557.604
177,392,559.772
178,378,563.038
179,383,559.804
180,383,557.564
181,386,555.864
182,405,557.462
183,390,557.832
184,403,555.632
185,381,554.488
186,357,552.64
187,376,559.034
188,395,555.336
189,395,554.138
190,387,550.024
191,374,553.448
192,387,553.42
193,408,556.304
194,383,551.358
