geracao,melhor,media
1,460,665.34
2,457,635.875
3,457,611.165
4,456,591.255
5,398,570.695
6,398,558.16
7,398,550.815
8,383,542.185
9,383,542.935
10,383,542.955
11,383,522.435
12,383,509.805
13,383,504.32
14,382,500.845
15,382,499.665
16,379,500.91
17,360,495.08
18,360,497.825
19,360,495.03
20,344,494.21
21,338,490.14
22,338,490.83
23,338,497.795
24,335,490.48
25,335,495.52
26,335,488.88
27,335,480.08
28,335,482.555
29,335,480.75
30,327,480.355
31,327,477.83
32,327,476.445
33,323,480.025
34,323,479.505
35,323,473.405
36,323,474.68
37,319,468.08
38,319,465.835
39,319,462.46
40,315,456.36
41,311,448.73
42,311,449.7
43,307,448.4
44,299,445.37
45,299,442.415
46,291,431.375
47,291,432.9
48,291,439.35
49,291,438.97
50,291,435.71
51,291,436.885
52,291,442.92
53,291,444.72
54,291,437.34
55,291,433.335
56,291,436.495
57,291,433.77
58,291,421.8
59,291,411.37
60,291,411.505
61,291,411.675
62,291,409.615
63,291,413.35
64,291,402.49
65,291,399.435
66,291,409.025
67,291,409.45
68,291,402.44
69,291,391.745
70,291,390.14
71,291,390.945
72,291,392.78
73,291,382.995
74,291,369.34
75,291,373.145
76,291,376.415
77,291,378.36
78,291,377.98
79,291,380.545
80,291,384.23
81,291,386.385
82,291,387.245
83,291,388.36
84,291,382.19
85,291,375.605
86,291,377.34
87,291,375.825
88,291,372.06
89,291,375.375
90,291,366.47
91,291,362.47
92,291,373.145
93,291,378.595
94,291,388.795
95,291,385.77
96,291,390.235
97,291,394.5
98,291,397.72
99,291,400.165
100,291,398.25
