geracao,melhor,media
1,533,657.905
2,484,637.475
3,447,621.99
4,447,620.235
5,447,606.435
6,447,601.76
7,447,594.335
8,430,589.65
9,430,577.19
10,430,566.6
11,430,556.87
12,430,552.19
13,412,537.91
14,412,533.33
15,412,524.325
16,393,513.315
17,393,502.24
18,393,483.705
19,393,467.49
20,393,459.24
21,393,452.105
22,393,451.37
23,393,446.525
24,393,441.035
25,393,434.685
26,393,431.07
27,393,433.53
28,393,433.53
29,393,435.78
30,393,434.73
31,393,431.095
32,393,434.79
33,393,428.91
34,393,429.02
35,393,428.23
36,393,424.545
37,393,423.245
38,393,422.725
39,393,421.33
40,393,422.525
41,392,418.845
42,392,416.7
43,392,415.7
44,392,412.995
45,390,411.295
46,387,408.38
47,387,407.59
48,387,404.4
49,387,402.45
50,383,395.495
51,383,395.315
52,383,396.01
53,383,395.38
54,383,389.875
55,363,388.015
56,363,388.95
57,363,387.705
58,363,385.28
59,363,383.415
60,363,382.125
61,363,378.245
62,363,372.36
63,363,370.085
64,363,368.925
65,363,368.505
66,363,368.57
67,363,365.845
68,363,367.805
69,363,365.38
70,363,365.87
71,363,368.79
72,363,367.345
73,363,365.92
74,363,367.755
75,363,366.06
76,363,366.58
77,363,364.32
78,363,368.57
79,363,368.675
80,363,368.115
81,363,365.195
82,363,364.895
83,363,367.115
84,363,368.965
85,363,365.79
86,363,366.785
87,363,365.435
88,363,365.895
89,363,367.705
90,363,366.66
91,363,365.95
92,363,365.93
93,363,366.405
94,363,365.85
95,363,368.325
96,363,366.35
97,363,368.235
98,363,366.35
99,363,369.185
100,363,367.49
101,363,364.55
102,363,367.595
103,363,366.165
104,363,366.81
105,363,364.785
106,363,366.34
107,363,366.755
108,363,366.93
109,363,367.245
110,363,367.41
111,363,369.07
112,363,366.005
113,363,365.39
114,363,368.51
115,363,366.79
116,363,366.855
117,363,366.775
118,363,366.805
119,363,366.895
120,363,367.55
121,363,365.655
122,363,365.03
123,363,367.225
124,363,367.69
125,363,367.595
126,363,364.72
127,363,365.59
128,363,367.215
129,363,365.545
130,363,367.065
131,363,367.965
132,363,365.685
133,363,367.945
134,363,366.61
135,363,366.56
136,363,368.24
137,363,369.73
138,363,366.785
139,363,364.585
140,363,366.72
141,363,368.405
142,363,367.785
143,363,368.85
144,363,367.815
145,363,368.75
146,363,366.725
147,363,366.13
148,363,367.14
149,363,365.54
150,363,367.0
151,363,365.845
152,363,366.505
153,363,365.84
154,363,368.27
155,363,366.465
156,363,369.615
157,363,367.425
158,363,368.335
159,363,365.39
160,363,366.52
161,363,365.805
162,363,365.24
163,363,368.745
164,363,367.035
165,363,366.1
166,363,369.76
167,363,364.845
168,363,365.885
169,363,365.755
170,363,368.59
171,363,369.01
172,363,365.905
173,363,366.265
174,363,365.85
175,363,366.17
176,363,367.595
177,363,368.6
178,363,367.735
179,363,369.295
180,363,367.04
181,363,369.75
182,363,365.745
183,363,365.855
184,363,366.655
185,363,367.295
186,363,366.44
187,363,365.705
188,363,366.48
189,363,363.82
190,363,365.46
191,363,367.38
192,363,367.015
193,363,368.255
194,363,364.8
195,363,367.07
196,363,365.995
197,363,370.265
198,363,367.49
199,363,365.535
200,363,366.5
