geracao,melhor,media
1,521,662.22
2,521,636.42
3,461,617.1
4,461,599.05
5,430,589.39
6,430,580.21
7,430,569.0
8,430,565.91
9,430,546.64
10,430,532.44
11,430,534.15
12,430,522.28
13,430,500.83
14,418,467.65
15,418,455.03
16,418,446.23
17,418,436.82
18,418,435.75
19,418,435.02
20,417,432.14
21,418,432.74
22,417,426.74
23,403,426.08
24,413,424.46
25,413,423.13
26,381,424.35
27,381,419.68
28,380,416.87
29,380,416.89
30,363,413.5
31,363,396.13
32,363,395.57
33,363,383.13
34,363,384.5
35,363,389.95
36,363,386.89
37,363,391.5
38,363,382.19
39,363,376.32
40,337,379.17
41,337,373.35
42,337,372.19
43,337,365.97
44,337,370.19
45,337,363.91
46,337,357.14
47,337,351.66
48,337,345.74
49,337,345.31
50,330,342.74
51,330,345.77
52,330,345.44
53,330,343.95
54,330,340.78
55,330,348.96
56,330,342.16
57,330,342.63
58,330,341.56
59,330,339.13
60,330,336.3
61,330,343.9
62,330,340.41
63,330,339.66
64,330,349.06
65,330,339.73
66,330,335.24
67,330,340.1
68,330,339.89
69,330,344.25
70,330,344.39
71,330,336.32
72,330,334.87
73,330,338.76
74,330,340.18
75,330,336.55
76,330,341.2
77,330,341.2
78,330,343.22
79,330,334.21
80,330,338.84
81,330,344.93
82,330,339.43
83,330,338.59
84,330,341.51
85,330,344.57
86,330,337.27
87,330,335.67
88,330,345.68
89,330,338.37
90,330,338.78
91,330,344.86
92,330,340.5
93,330,340.09
94,330,338.08
95,330,339.73
96,330,341.52
97,330,335.1
98,330,337.37
99,330,335.66
100,330,337.75
101,330,340.83
102,330,335.37
103,330,337.14
104,330,338.48
105,330,347.51
106,330,344.81
107,330,338.0
108,330,335.63
109,330,337.91
110,330,336.43
111,330,335.32
112,330,339.21
113,330,339.73
114,330,341.6
115,330,336.64
116,330,340.47
117,330,342.45
118,330,339.71
119,330,338.57
120,330,345.73
121,330,337.7
122,330,339.34
123,330,340.18
124,330,335.52
125,330,338.73
126,330,342.99
127,330,342.54
128,330,337.92
129,330,339.15
130,330,341.77
131,330,337.49
132,330,335.92
133,330,341.83
134,330,341.12
135,330,339.85
136,330,338.58
137,330,339.42
138,330,336.82
139,330,339.49
140,330,340.27
141,330,342.52
142,330,343.04
143,330,342.2
144,330,339.51
145,330,342.14
146,330,338.18
147,330,337.86
148,330,343.1
149,330,342.19
150,330,337.62
151,330,340.54
152,330,338.48
153,330,342.66
154,330,344.13
155,330,340.81
156,330,336.42
157,330,338.25
158,330,337.59
159,330,336.46
160,330,339.55
161,330,340.03
162,330,340.51
163,330,336.24
164,330,343.18
165,330,344.67
166,330,345.55
167,330,339.98
168,330,336.05
169,330,343.43
170,330,335.57
171,330,336.23
172,330,338.96
173,330,337.89
174,330,339.9
175,330,338.34
176,330,338.88
177,330,340.09
178,330,345.48
179,330,338.88
180,330,336.55
181,330,339.3
182,330,337.7
183,330,343.27
