geracao,melhor,media
1,503,665.39
2,474,642.155
3,469,613.18
4,465,599.485
5,465,582.73
6,416,578.91
7,416,564.695
8,430,560.095
9,424,556.51
10,439,545.245
11,420,541.68
12,420,540.995
13,399,534.63
14,398,529.625
15,398,522.575
16,409,515.57
17,411,517.025
18,411,523.65
19,428,528.065
20,410,526.86
21,414,532.02
22,414,532.245
23,417,533.465
24,415,528.525
25,411,538.47
26,411,538.275
27,411,533.675
28,424,534.025
29,423,529.65
30,404,534.715
31,419,538.2
32,426,537.025
33,381,531.295
34,381,529.465
35,393,524.355
36,376,528.225
37,400,527.2
38,382,521.72
39,375,522.105
40,405,522.18
41,418,515.98
42,401,514.445
43,399,508.645
44,393,509.515
45,404,505.085
46,364,507.54
47,364,514.54
48,367,517.39
49,396,515.745
50,358,513.57
51,366,508.69
52,352,507.16
53,366,501.565
54,351,508.815
55,384,511.59
56,386,513.935
57,395,519.865
58,395,514.34
59,359,508.5
60,359,508.315
61,359,508.085
62,359,502.805
63,359,502.785
64,355,499.74
65,369,502.64
66,364,504.66
67,364,494.18
68,374,491.17
69,327,489.71
70,327,487.955
71,327,484.22
72,327,476.83
73,350,478.245
74,350,482.2
75,351,476.495
76,356,472.8
77,355,466.235
78,331,464.845
79,331,459.23
80,331,461.05
81,331,461.2
82,331,466.935
83,341,466.365
84,342,471.09
85,344,466.88
86,337,477.8
87,307,472.085
88,307,472.075
89,307,470.33
90,307,462.54
91,319,468.91
92,319,470.535
93,321,466.475
94,321,463.985
95,344,467.88
96,359,466.335
97,347,471.585
98,338,463.98
99,338,465.62
100,319,454.415
101,338,453.56
102,337,454.135
103,337,449.685
104,352,457.285
105,352,464.325
106,323,463.105
107,323,465.935
108,352,468.035
109,352,479.425
110,349,473.46
111,341,474.12
112,321,478.855
113,321,473.34
114,355,468.21
115,341,468.655
116,341,467.03
117,319,466.575
118,319,464.245
119,319,465.055
120,324,467.705
121,324,464.62
122,299,466.455
123,291,471.47
124,307,466.945
125,317,457.2
126,325,453.55
127,324,453.955
128,325,454.25
129,307,454.785
130,317,459.245
131,317,466.115
132,317,456.28
133,317,457.565
134,317,456.14
135,317,460.55
136,317,454.11
137,317,454.125
138,317,454.9
139,317,448.15
140,321,454.67
141,325,463.4
142,315,466.07
143,313,469.675
144,325,478.3
145,325,473.8
146,338,462.055
147,329,466.695
148,329,464.57
149,329,462.3
150,311,458.33
151,311,464.13
152,311,467.82
153,314,474.47
154,343,480.485
155,353,481.305
156,353,479.66
157,350,472.57
158,358,482.15
159,358,484.48
160,358,480.875
161,358,476.91
162,357,478.315
163,357,478.66
164,345,470.42
165,345,473.31
166,337,467.52
167,337,462.245
168,353,461.06
169,353,469.35
170,353,471.29
171,339,476.705
172,331,470.46
173,338,462.97
174,338,464.955
175,343,467.31
176,324,470.35
177,355,469.04
178,343,466.51
179,343,457.885
180,362,457.645
181,324,456.975
182,328,460.83
183,328,457.23
184,328,462.29
185,333,462.89
186,333,466.23
187,327,468.28
188,328,463.53
189,328,464.855
190,329,462.805
191,329,464.37
192,327,461.89
193,327,463.025
194,303,462.58
195,303,462.19
196,303,461.515
197,303,472.815
198,303,479.545
199,299,474.02
200,329,473.63
201,329,461.965
202,335,461.67
203,335,470.07
204,335,466.135
205,319,459.99
206,319,465.1
207,319,465.295
208,328,467.515
209,328,466.26
210,319,455.825
211,323,457.56
212,295,461.105
213,325,460.475
214,327,451.905
215,319,455.77
216,327,458.66
217,315,463.505
218,315,457.56
219,307,455.76
220,307,453.635
221,295,454.945
222,291,459.34
223,291,453.435
224,326,453.88
225,326,451.365
226,313,450.11
227,332,456.17
228,313,455.93
229,315,463.24
230,313,463.965
231,313,457.945
232,313,455.96
233,332,458.795
234,332,461.935
235,321,455.75
236,331,465.015
237,329,474.01
238,329,470.905
239,332,470.665
240,332,468.08
241,313,465.9
242,332,465.585
243,326,458.025
244,291,458.915
245,299,459.09
246,299,453.735
247,299,454.45
248,291,453.07
249,299,455.815
250,307,456.04
251,307,458.23
252,311,454.665
253,311,451.045
254,307,454.19
255,307,452.99
256,307,453.095
257,307,440.965
258,307,439.065
259,307,440.245
260,307,435.24
261,307,432.975
262,307,441.505
263,307,441.72
264,311,437.25
265,311,446.15
266,311,437.06
267,311,428.68
268,311,430.94
269,311,438.385
270,311,438.49
271,323,433.03
272,311,434.835
273,311,437.79
274,311,445.485
275,311,445.085
276,307,437.745
277,307,434.99
278,307,438.895
279,307,441.41
280,299,443.08
281,299,429.56
282,295,422.99
283,303,428.99
284,303,436.37
285,307,436.155
286,323,429.82
287,295,435.98
288,295,433.865
289,311,433.94
290,311,437.655
291,295,432.865
292,295,440.71
293,311,444.525
294,311,444.425
295,295,434.695
296,307,437.995
297,321,443.275
298,321,443.44
299,295,440.775
300,295,440.9
301,315,436.91
302,295,434.38
303,295,443.49
304,295,445.17
305,317,445.895
306,291,449.585
307,291,450.24
308,291,449.88
309,315,450.67
310,317,455.12
311,317,446.74
312,317,436.06
313,314,442.095
314,317,450.18
315,342,449.395
316,335,456.55
317,335,458.825
318,307,458.825
319,338,459.78
320,337,461.57
321,335,461.735
322,342,463.74
323,339,464.535
324,321,459.11
325,319,458.695
326,321,458.34
327,321,450.62
328,321,456.235
329,321,459.065
330,321,462.38
331,324,456.83
332,338,455.385
333,291,457.5
334,329,455.95
335,329,454.665
336,307,452.895
337,336,456.55
338,319,457.195
339,319,466.07
340,340,465.82
341,341,470.29
342,325,462.6
343,327,466.095
344,327,456.16
345,291,450.27
346,315,442.49
347,315,441.41
348,291,447.38
349,291,453.81
350,291,443.03
351,291,443.545
352,307,436.995
353,307,441.495
354,299,446.095
355,299,447.035
356,299,454.65
357,307,455.91
358,323,453.185
359,323,447.905
360,323,454.34
361,327,450.015
362,340,454.195
363,326,450.24
364,307,456.95
365,307,455.29
366,295,452.78
367,295,447.13
368,307,440.345
369,307,425.815
370,307,418.1
371,307,423.86
372,299,421.46
373,299,425.22
374,307,423.725
375,311,425.465
376,295,427.405
377,299,430.615
378,299,435.325
379,307,435.79
380,295,442.39
381,295,444.3
382,295,444.045
383,311,449.7
384,299,455.035
385,299,446.365
386,299,450.245
387,299,447.615
388,299,448.085
389,291,455.325
390,291,448.72
391,291,442.12
392,299,444.98
393,299,439.62
394,291,425.095
395,291,419.455
396,291,424.165
397,299,426.135
398,299,427.255
399,291,421.0
400,291,422.31
401,291,429.09
402,291,428.735
403,299,430.38
404,299,429.105
405,299,428.435
406,299,431.79
407,313,427.73
408,291,424.29
409,317,430.915
410,299,426.825
411,299,433.415
412,321,425.355
413,299,435.745
414,299,438.25
415,299,444.815
416,299,453.545
417,299,453.245
418,299,455.81
419,299,457.015
420,299,457.005
421,299,443.985
422,299,439.605
423,299,435.21
424,328,446.22
425,321,448.49
426,325,449.39
427,319,446.055
428,325,452.32
429,321,455.83
430,353,453.595
431,329,454.455
432,322,456.23
433,343,456.2
434,325,456.44
435,356,464.75
436,299,460.39
437,299,481.33
438,331,472.485
439,340,471.045
440,333,472.81
441,340,478.68
442,355,477.295
443,346,478.855
444,325,478.085
445,325,487.825
446,325,483.755
447,325,479.61
448,325,467.575
449,332,465.405
450,332,471.39
451,328,463.92
452,299,467.615
453,328,463.405
454,328,466.14
455,328,457.75
456,328,453.35
457,328,449.64
458,323,448.77
459,325,445.38
460,325,442.645
461,325,441.01
462,323,446.035
463,321,454.9
464,323,446.1
465,315,440.07
466,333,445.0
467,332,443.835
468,326,448.42
469,333,452.315
470,325,455.285
471,325,454.83
472,332,452.86
473,323,443.77
474,323,441.88
475,323,434.675
476,332,430.44
477,335,420.97
478,337,429.27
479,327,431.98
480,327,435.19
481,327,438.225
482,311,435.225
483,307,441.32
484,311,440.95
485,311,431.785
486,311,428.555
487,303,429.035
488,303,431.7
489,299,428.57
490,303,425.59
491,303,415.175
492,315,421.79
493,307,420.115
494,307,421.125
495,307,427.525
496,299,430.53
497,291,431.525
498,315,429.035
499,315,436.965
500,315,439.86
