geracao,melhor,media
1,486,662.422
2,448,633.384
3,447,620.892
4,460,614.174
5,460,612.28
6,438,605.104
7,438,598.15
8,408,593.832
9,408,594.646
10,408,595.958
11,413,595.362
12,415,589.992
13,439,585.12
14,425,581.902
15,403,574.844
16,433,572.606
17,439,566.066
18,447,562.99
19,431,552.566
20,425,546.972
21,425,542.648
22,408,538.64
23,415,532.302
24,415,525.052
25,415,511.318
26,411,501.566
27,411,495.504
28,393,489.24
29,393,483.118
30,388,477.158
31,377,469.97
32,375,461.694
33,375,455.106
34,388,448.244
35,386,445.588
36,375,437.882
37,363,431.472
38,363,422.718
39,357,413.896
40,361,409.122
41,365,400.342
42,361,397.418
43,348,394.37
44,348,392.804
45,323,385.94
46,319,384.884
47,319,384.968
48,319,379.032
49,319,379.28
50,319,377.884
51,319,375.466
52,319,370.236
53,319,365.514
54,319,355.49
55,311,348.762
56,319,341.022
57,299,333.418
58,299,330.714
59,299,329.468
60,295,329.36
61,291,327.534
62,299,325.262
63,291,323.748
64,291,325.936
65,291,324.936
66,291,315.448
67,291,311.11
68,291,309.502
69,291,305.584
70,291,303.906
71,291,301.466
72,291,302.458
73,291,300.714
74,291,299.124
75,291,300.126
76,291,300.68
77,291,298.908
78,291,299.448
79,291,300.816
80,291,300.358
81,291,299.704
82,291,302.172
83,291,302.074
84,291,301.598
85,291,304.146
86,291,302.762
87,291,304.76
88,291,301.684
89,291,301.864
90,291,303.414
91,291,301.96
92,291,301.292
93,291,303.758
94,291,301.17
95,291,300.966
96,291,299.74
97,291,300.354
98,291,302.36
99,291,303.338
100,291,301.206
101,291,298.508
102,291,300.242
103,291,303.414
104,291,302.496
105,291,303.014
106,291,304.25
107,291,302.642
108,291,303.578
109,291,302.812
110,291,303.384
111,291,300.97
112,291,302.648
113,291,299.794
114,291,300.656
115,291,300.712
116,291,298.412
117,291,299.788
118,291,302.29
119,291,305.13
120,291,300.286
121,291,299.148
122,291,303.712
123,291,301.302
124,291,300.204
125,291,302.706
126,291,301.788
127,291,299.582
128,291,302.85
129,291,301.26
130,291,302.124
131,291,301.992
132,291,301.578
133,291,303.608
134,291,303.066
135,291,300.95
136,291,302.0
137,291,301.906
138,291,301.516
139,291,299.566
140,291,303.21
141,291,300.862
142,291,301.838
143,291,302.788
144,291,299.59
145,291,302.328
146,291,301.354
147,291,302.756
148,291,300.446
149,291,303.592
150,291,301.556
151,291,302.054
152,291,302.51
153,291,301.542
154,291,304.818
155,291,304.754
156,291,299.876
157,291,302.666
158,291,302.88
159,291,299.772
160,291,299.996
161,291,301.278
162,291,301.394
163,291,304.01
164,291,302.114
165,291,301.802
166,291,300.792
167,291,304.324
168,291,299.61
169,291,300.166
170,291,301.996
171,291,301.34
172,291,301.058
173,291,302.488
174,291,300.83
175,291,302.904
176,291,301.718
177,291,301.526
178,291,298.878
179,291,299.78
180,291,300.89
181,291,300.49
182,291,299.976
183,291,303.426
184,291,305.63
185,291,301.8
186,291,301.458
187,291,301.804
188,291,302.496
189,291,302.876
190,291,298.974
191,291,301.618
192,291,301.886
193,291,302.354
194,291,300.406
195,291,302.0
196,291,302.794
197,291,299.634
198,291,304.292
199,291,301.496
200,291,299.254
