geracao,melhor,media
1,530,674.63
2,508,644.47
3,508,627.59
4,508,622.82
5,481,613.98
6,477,603.91
7,461,594.92
8,461,567.0
9,454,571.55
10,449,553.86
11,454,541.37
12,449,526.28
13,415,520.0
14,431,525.35
15,415,508.62
16,380,500.49
17,380,487.61
18,380,478.87
19,380,477.37
20,380,474.51
21,380,449.21
22,374,428.88
23,374,410.7
24,374,395.24
25,380,389.28
26,380,381.58
27,380,388.08
28,380,381.27
29,380,380.86
30,380,383.47
31,380,381.72
32,380,380.6
33,380,384.74
34,380,383.0
35,380,383.68
36,380,380.39
37,380,386.06
38,373,387.82
39,373,381.9
40,373,383.99
41,373,380.58
42,373,383.34
43,373,382.36
44,373,378.76
45,373,378.85
46,373,379.43
47,373,377.86
48,373,381.49
49,373,379.5
50,373,380.59
51,373,373.54
52,373,377.85
53,373,380.13
54,373,381.86
55,373,378.21
56,373,380.35
57,373,377.43
58,364,378.54
59,364,373.59
60,364,375.47
61,364,378.42
62,364,376.25
63,364,374.56
64,364,373.49
65,364,371.82
66,364,369.75
67,364,368.02
68,364,369.57
69,364,367.28
70,357,366.16
71,357,366.11
72,357,366.96
73,357,363.4
74,357,365.03
75,357,363.64
76,357,361.82
77,357,363.38
78,357,360.15
79,357,358.7
80,357,360.27
81,357,362.11
82,357,362.57
83,357,365.05
84,357,360.74
85,357,362.26
86,357,359.29
87,357,359.92
88,357,363.31
89,357,363.89
90,357,368.76
91,357,363.79
92,357,360.97
93,357,362.34
94,357,361.24
95,357,360.49
96,357,360.84
97,357,359.41
98,357,360.85
99,357,362.47
100,357,361.6
