geracao,melhor,media
1,480,665.675
2,489,645.23
3,475,624.87
4,457,605.835
5,439,591.405
6,423,592.85
7,423,580.06
8,427,575.82
9,396,564.565
10,426,563.255
11,395,567.665
12,413,568.975
13,400,570.195
14,396,566.395
15,396,563.25
16,400,559.265
17,405,559.02
18,424,555.19
19,438,561.505
20,404,557.05
21,434,559.69
22,405,556.455
23,382,553.52
24,404,560.49
25,432,567.075
26,409,569.435
27,406,566.45
28,431,566.19
29,425,563.565
30,425,560.415
31,398,549.895
32,417,548.88
33,411,544.675
34,399,538.97
35,399,545.35
36,357,550.0
37,364,552.16
38,409,551.65
39,438,555.415
40,370,555.815
41,414,556.78
42,433,561.15
43,406,565.235
44,380,557.46
45,386,557.105
46,393,548.4
47,405,546.515
48,411,544.53
49,402,536.275
50,388,527.305
51,402,524.715
52,364,527.97
53,398,528.82
54,386,530.44
55,370,531.095
56,364,532.525
57,381,536.625
58,408,537.795
59,358,534.46
60,387,535.265
61,414,536.625
62,327,538.795
63,365,534.005
64,365,530.375
65,370,533.83
66,373,523.225
67,408,521.43
68,326,532.325
69,357,531.56
70,363,533.835
71,396,535.875
72,361,540.94
73,375,542.015
74,400,545.975
75,398,539.01
76,411,549.89
77,381,552.18
78,417,549.025
79,397,550.895
80,415,556.34
81,425,560.03
82,417,555.335
83,418,545.01
84,406,543.725
85,402,537.83
86,405,528.695
87,361,523.2
88,388,525.61
89,409,531.955
90,412,528.515
91,403,527.145
92,390,533.665
93,374,533.66
94,374,531.305
95,386,543.16
96,385,543.96
97,410,548.455
98,423,552.82
99,423,549.95
100,413,540.895
101,403,538.84
102,389,532.69
103,383,530.46
104,398,537.325
105,387,528.19
106,392,535.065
107,385,540.235
108,398,538.85
109,398,546.335
110,418,547.96
111,420,552.035
112,403,551.5
113,417,549.79
114,412,548.975
115,418,553.775
116,416,556.21
117,411,553.91
118,425,550.165
119,436,558.665
120,415,550.185
121,421,547.585
122,412,555.03
123,408,553.02
124,420,554.835
125,420,550.5
126,386,554.025
127,411,546.615
128,406,550.63
129,406,544.07
130,406,539.965
131,424,539.28
132,337,545.375
133,394,544.235
134,386,547.495
135,386,545.7
136,405,548.395
137,413,553.155
138,425,556.715
139,432,555.15
140,414,551.43
141,408,550.99
142,412,552.625
143,423,553.705
144,414,550.885
145,345,559.875
146,373,564.105
147,397,559.535
148,447,553.485
149,434,564.68
150,442,567.03
151,431,569.155
152,433,567.455
153,422,564.225
154,394,554.36
155,372,555.985
156,368,554.385
157,372,557.175
158,360,563.565
159,390,558.705
160,401,561.495
161,401,557.88
162,411,561.25
163,402,561.745
164,427,553.305
165,443,563.435
166,417,563.505
167,406,556.6
168,418,552.555
169,433,565.825
170,388,560.965
171,388,558.005
172,428,560.875
173,399,550.475
174,428,558.51
175,398,557.575
176,437,553.82
177,432,552.89
178,423,557.055
179,405,553.625
180,405,553.955
181,405,550.375
182,426,549.645
183,403,547.51
184,395,545.945
185,398,545.77
186,372,551.085
187,390,553.66
188,404,555.94
189,410,551.77
190,403,555.215
191,421,544.265
192,424,545.995
193,432,557.795
194,436,563.37
195,410,549.525
196,422,546.43
197,427,542.095
198,387,531.75
199,409,536.08
200,409,545.63
201,370,547.045
202,378,534.375
203,406,532.815
204,421,533.785
205,408,540.55
206,402,540.075
207,394,542.39
208,400,537.88
209,423,539.65
210,384,535.46
211,412,528.555
212,390,528.345
213,401,525.185
214,396,528.47
215,387,529.625
216,390,530.065
217,390,527.25
218,406,535.315
219,374,537.76
220,406,541.66
221,443,552.84
222,425,551.55
223,440,558.885
224,451,566.455
225,426,566.06
226,409,569.32
227,417,565.1
228,425,560.895
229,401,555.775
230,435,559.48
231,431,557.4
232,432,566.66
233,419,563.325
234,415,559.685
235,415,562.66
236,372,562.15
237,422,559.75
238,402,555.74
239,376,555.015
240,384,551.985
241,378,555.49
242,378,550.355
243,401,539.18
244,415,536.615
245,379,540.23
246,392,537.08
247,374,543.07
248,357,546.63
249,386,552.81
250,360,550.62
251,383,551.035
252,408,561.88
253,394,558.825
254,399,563.695
255,420,556.605
256,415,549.03
257,404,549.96
258,423,550.915
259,423,554.705
260,362,561.52
261,431,562.0
262,373,560.985
263,389,563.555
264,412,568.34
265,446,552.64
266,438,564.66
267,449,568.54
268,458,569.515
269,459,569.82
270,448,570.69
271,438,570.48
272,414,565.165
273,422,560.64
274,422,564.625
275,387,566.96
276,383,558.81
277,438,553.635
278,439,561.1
279,380,556.93
280,386,559.67
281,433,544.27
282,415,544.9
283,429,546.3
284,411,544.055
285,416,550.94
286,418,543.7
287,390,544.065
288,388,552.715
289,333,550.165
290,400,551.09
291,420,553.47
292,405,554.905
293,404,562.56
294,398,562.43
295,417,561.495
296,417,558.035
297,418,561.585
298,359,558.755
299,333,562.175
300,412,556.065
301,399,552.895
302,409,541.98
303,409,546.715
304,416,547.03
305,409,551.66
306,411,552.545
307,432,542.81
308,392,545.495
309,427,551.165
310,431,553.055
311,405,554.335
312,428,560.19
313,413,565.595
314,416,573.515
315,438,575.86
