geracao,melhor,media
1,466,665.295
2,498,636.75
3,465,615.52
4,444,596.88
5,414,585.685
6,386,568.72
7,414,570.065
8,420,564.205
9,428,556.355
10,420,552.21
11,426,549.38
12,426,552.035
13,406,545.405
14,417,548.685
15,423,546.81
16,442,546.56
17,421,544.545
18,388,539.94
19,388,537.505
20,388,537.555
21,397,537.965
22,397,535.05
23,386,534.875
24,390,528.715
25,384,527.14
26,361,523.73
27,391,526.115
28,385,532.09
29,391,532.89
30,409,537.51
31,413,537.62
32,360,537.285
33,406,533.22
34,406,530.44
35,373,531.44
36,373,525.83
37,393,525.035
38,413,529.64
39,419,526.87
40,405,520.485
41,395,526.7
42,385,526.33
43,410,520.275
44,410,525.175
45,413,524.865
46,406,523.355
47,398,527.655
48,408,526.38
49,408,524.855
50,395,518.38
51,396,521.93
52,394,518.375
53,389,512.075
54,361,519.0
55,411,522.3
56,407,516.915
57,376,516.375
58,376,517.065
59,376,526.28
60,390,521.78
61,402,521.86
62,394,519.095
63,403,517.2
64,411,517.765
65,408,523.695
66,384,521.865
67,396,518.775
68,413,510.785
69,391,504.375
70,391,505.985
71,391,505.715
72,359,510.515
73,390,509.085
74,363,513.625
75,380,509.11
76,380,511.705
77,359,512.13
78,376,515.045
79,358,516.4
80,344,514.27
81,344,517.085
82,386,519.89
83,374,524.9
84,374,524.065
85,374,528.16
86,411,525.36
87,375,525.84
88,366,519.195
89,384,513.62
90,353,515.24
91,387,505.535
92,343,508.59
93,343,508.69
94,373,505.49
95,380,507.94
96,375,509.47
97,375,502.005
98,375,502.215
99,366,501.18
100,366,505.65
101,366,503.535
102,366,507.03
103,366,510.49
104,366,506.445
105,366,514.71
106,394,512.235
107,398,517.05
108,400,522.335
109,386,524.2
110,382,532.98
111,386,527.3
112,386,525.275
113,374,524.6
114,386,521.585
115,380,518.45
116,386,517.585
117,379,507.27
118,357,505.71
119,357,507.8
120,349,505.315
121,349,505.475
122,377,502.445
123,377,495.25
124,358,491.495
125,357,495.39
126,345,490.4
127,325,485.025
128,345,485.695
129,354,488.385
130,345,486.085
131,345,482.885
132,345,481.01
133,341,484.155
134,325,485.485
135,329,490.83
136,329,489.73
137,333,483.875
138,342,487.69
139,342,487.9
140,342,484.16
141,321,479.39
142,321,477.485
143,303,475.1
144,327,472.01
145,337,470.945
146,317,467.65
147,317,467.705
148,311,475.37
149,311,475.825
150,311,471.52
151,291,463.75
152,325,458.485
153,315,456.135
154,315,458.56
155,325,459.415
156,325,469.495
157,351,479.985
158,337,481.105
159,347,480.46
160,335,476.75
161,335,478.855
162,331,473.235
163,331,472.88
164,361,477.99
165,352,477.175
166,352,481.36
167,342,477.02
168,342,479.505
169,329,478.12
170,329,482.205
171,329,488.12
172,344,491.65
173,342,489.045
174,336,482.155
175,327,479.405
176,327,470.29
177,327,468.57
178,327,471.935
179,323,477.475
180,307,483.33
181,307,488.49
182,307,486.42
183,307,487.71
184,307,480.47
185,323,479.1
186,323,476.64
187,323,474.805
188,334,466.555
189,327,463.67
190,323,461.255
191,331,466.975
192,332,467.095
193,332,466.86
194,331,470.81
195,331,472.08
196,331,478.65
197,329,473.045
198,341,480.35
199,341,484.28
200,370,487.745
