geracao,melhor,media
1,505,668.37
2,505,645.53
3,496,620.03
4,456,598.55
5,450,585.43
6,450,570.15
7,441,579.03
8,441,572.69
9,441,578.5
10,415,566.06
11,415,560.55
12,415,557.46
13,415,546.8
14,370,527.11
15,370,528.81
16,370,518.44
17,366,519.16
18,366,515.38
19,366,525.77
20,366,534.86
21,366,537.78
22,366,541.46
23,358,535.56
24,358,529.41
25,358,529.03
26,358,537.82
27,338,534.5
28,338,527.4
29,338,516.79
30,338,512.48
31,338,490.07
32,313,482.87
33,313,478.2
34,313,479.58
35,313,485.98
36,313,486.28
37,313,489.62
38,313,482.87
39,313,486.54
40,313,483.42
41,313,475.18
42,313,477.64
43,313,487.19
44,313,482.12
45,313,486.42
46,291,474.24
47,291,466.17
48,291,457.77
49,291,462.27
50,291,463.8
51,291,451.52
52,291,475.83
53,291,472.46
54,291,476.22
55,291,468.28
56,291,461.48
57,291,459.36
58,291,466.07
59,291,458.58
60,291,450.09
61,291,444.35
62,291,428.02
63,291,438.97
64,291,446.78
65,291,449.35
66,291,452.56
67,291,453.03
68,291,459.36
69,291,446.42
70,291,445.17
71,291,452.91
72,291,453.04
73,291,467.98
74,291,474.47
75,291,478.09
76,291,478.61
77,291,484.07
78,291,479.13
79,291,473.03
80,291,470.76
81,291,467.93
82,291,471.81
83,291,489.46
84,291,481.34
85,291,477.82
86,291,462.31
87,291,446.17
88,291,445.26
89,291,450.62
90,291,455.06
91,291,446.43
92,291,449.83
93,291,453.02
94,291,440.32
95,291,450.46
96,291,450.15
97,291,454.36
98,291,455.76
99,291,457.51
100,291,467.99
101,291,462.12
102,291,476.53
103,291,476.93
104,291,486.68
105,291,477.73
106,291,482.54
107,291,490.54
108,291,490.79
109,291,494.53
110,291,491.07
111,291,468.64
112,291,479.0
113,291,478.49
114,291,471.54
115,291,482.44
116,291,481.83
117,291,469.91
118,291,470.7
119,291,461.85
120,291,460.7
121,291,467.28
122,291,465.53
123,291,465.91
124,291,470.87
125,291,466.57
126,291,463.75
127,291,467.73
128,291,479.84
129,291,470.41
130,291,471.67
131,291,470.86
132,291,479.9
133,291,482.22
134,291,470.22
135,291,459.4
136,291,479.09
137,291,477.01
138,291,498.84
139,291,503.35
140,291,495.71
141,291,491.11
142,291,488.32
143,291,489.15
144,291,487.29
145,291,489.57
146,291,489.65
147,291,483.61
148,291,477.89
149,291,491.16
150,291,479.15
151,291,491.23
152,291,496.18
153,291,500.83
154,291,499.01
155,291,483.0
156,291,487.52
157,291,491.01
158,291,491.64
159,291,492.05
160,291,483.16
161,291,479.76
162,291,485.32
163,291,475.98
164,291,473.25
165,291,483.26
166,291,471.14
167,291,478.85
168,291,477.57
169,291,490.37
170,291,493.74
171,291,500.29
172,291,506.4
173,291,503.93
174,291,488.96
175,291,477.85
176,291,457.97
177,291,458.3
178,291,454.77
179,291,465.39
180,291,479.78
181,291,480.07
182,291,471.9
183,291,465.31
184,291,476.11
185,291,498.26
186,291,483.83
187,291,472.38
188,291,464.22
189,291,475.09
190,291,474.78
191,291,483.8
192,291,486.07
193,291,490.65
194,291,499.01
195,291,505.22
196,291,507.28
197,291,501.81
198,291,497.04
199,291,473.63
200,291,474.8
201,291,484.81
202,291,460.97
203,291,451.25
204,291,455.37
205,291,442.49
206,291,444.79
207,291,449.76
208,291,463.13
209,291,466.53
210,291,467.61
211,291,479.77
212,291,490.82
213,291,469.46
214,291,465.69
215,291,453.11
216,291,453.92
217,291,444.92
218,291,442.91
219,291,447.5
220,291,445.16
221,291,442.62
222,291,444.27
223,291,441.75
224,291,433.16
225,291,427.77
226,291,426.42
227,291,424.64
228,291,421.68
